#{"t_start": 1742559698.5896683, "env_id": "Hopper-v5"}
r,l,t
285.962562,155,26428.798904
296.942765,164,26440.991671
334.637327,182,26454.81133
319.096116,180,26468.319658
405.711891,236,26486.549337
320.346161,170,26499.4439
349.099006,210,26515.203776
366.673839,216,26531.700391
245.956113,140,26542.257142
254.952255,130,26552.127335
270.357202,134,26561.961579
71.360376,41,26565.078623
264.330869,116,26573.883089
66.654175,37,26576.825967
303.500834,137,26587.092806
68.897374,38,26590.106834
303.86419,122,26599.323178
355.717075,147,26610.369181
312.996992,136,26620.691004
327.023692,151,26632.285939
273.139201,127,26641.82616
306.577986,136,26651.923134
308.214534,124,26661.222397
329.279599,126,26670.973957
347.069053,147,26681.984655
314.285663,138,26692.463768
286.258903,129,26702.441581
292.575552,132,26712.539363
343.792102,144,26723.196792
364.35892,150,26734.84628
295.714267,131,26744.92858
388.832136,152,26756.378463
293.758689,128,26766.355289
362.070587,145,26777.493607
336.017314,139,26787.822841
427.604837,166,26800.488766
432.040084,165,26812.821385
421.948981,169,26825.632252
555.282836,200,26840.838076
581.17153,211,26856.864784
649.02651,238,26874.525699
764.487819,272,26895.205003
1718.945067,569,26937.942485
1110.611635,399,26967.698696
1021.773179,344,26994.254528
2422.559537,1000,27070.130283
2561.33736,1000,27145.063439
2506.129949,872,27210.761392
636.001322,251,27229.861346
1748.893352,643,27278.673511
1042.36101,376,27306.948378
1872.309467,719,27361.509405
2326.82463,1000,27437.489589
2105.449265,1000,27512.991672
1054.402118,1000,27588.505933
1596.588883,1000,27663.837887
1299.984747,1000,27739.729028
2015.337203,1000,27815.295651
2155.098369,1000,27890.908806
2306.569969,1000,27965.718635
2258.041616,1000,28040.704629
1950.921067,1000,28115.739186
1782.45632,1000,28191.708755
1675.789328,1000,28266.535039
1044.873408,1000,28341.478289
1046.443049,1000,28416.059821
1101.203595,1000,28490.594498
1094.214376,1000,28564.684583
1046.794157,1000,28639.22357
1079.339619,1000,28713.927166
1288.569177,1000,28789.061862
1049.683023,1000,28863.531652
1041.082833,1000,28938.20005
1388.330435,1000,29013.158324
1646.453478,1000,29088.214257
1620.727301,1000,29163.541927
1748.879286,1000,29238.669351
1909.799011,1000,29323.331221
1407.667299,1000,29402.834333
1045.505801,1000,29480.290838
1047.711009,1000,29558.461545
1046.899512,1000,29635.844059
1045.852654,1000,29716.53458
1033.974279,1000,29796.767267
1036.248323,1000,29876.121067
1031.710923,1000,29953.724114
1033.106233,1000,30032.482482
1036.562911,1000,30110.346296
1038.553974,1000,30188.786509
1041.785158,1000,30265.457571
1090.023123,531,30305.721522
2107.804876,979,30381.133795
2502.261936,1000,30461.268574
2314.761955,1000,30541.222584
2228.102464,1000,30622.45258
2195.210746,1000,30700.129878
2206.707573,1000,30776.102289
2201.515951,1000,30854.045588
2238.28998,1000,30931.665651
2240.760202,1000,31011.712057
2214.630155,1000,31091.252908
2276.966777,1000,31169.705908
2280.797788,1000,31248.262327
2294.56674,1000,31327.330818
2488.402082,1000,31407.187309
2376.70424,1000,31487.236804
2621.553243,1000,31564.852585
2569.64296,1000,31642.923756
2521.813952,1000,31721.701612
2484.729729,1000,31799.575579
2451.778795,1000,31878.385655
2404.065359,1000,31957.027553
2345.668273,1000,32035.018517
2263.712293,1000,32113.051176
2383.73379,1000,32191.771668
2400.493708,1000,32269.456799
2375.968036,1000,32348.958315
2406.80115,1000,32425.152827
2163.625245,1000,32501.707289
1925.88105,1000,32580.64728
1571.904371,1000,32648.810242
1544.893251,1000,32709.421333
82718,133,1394.565171
368.528816,134,1395.295637
367.086279,133,1401.684868
153.415566,78,1402.091147
143.252664,75,1402.433217
358.817877,134,1403.104208
366.294239,135,1403.872964
365.460326,134,1410.272689
368.826783,133,1411.011159
363.862829,133,1411.716925
366.459345,134,1412.539914
153.104281,79,1418.338674
364.771992,133,1418.997988
366.158166,131,1419.690575
142.951558,75,1420.131987
365.330124,132,1420.936387
366.534107,133,1426.969339
358.280641,132,1427.638618
70.575989,39,1427.840546
144.247843,76,1428.247359
74.403478,41,1428.48421
73.200903,40,1428.708137
367.925779,134,1434.502741
364.387665,133,1435.179008
366.717679,133,1435.868913
142.16717,75,1436.309427
360.601709,134,1442.482322
371.273552,132,1443.145646
359.073536,133,1443.818374
143.127347,75,1444.241502
367.210792,133,1444.992777
147.058375,77,1450.998388
142.155103,75,1451.392323
362.186759,134,1452.066005
176.358197,85,1452.529306
362.451393,132,1453.248896
364.090121,133,1459.753775
185.333854,87,1460.175378
364.539537,133,1460.828413
354.487062,131,1461.579415
312.763176,121,1467.615688
370.323703,134,1468.24209
278.91553,109,1468.839419
143.851454,76,1469.251017
274.944518,109,1469.834606
369.918071,135,1476.068336
361.176091,134,1476.747555
182.494962,87,1477.211466
362.144791,134,1477.950398
364.793938,132,1484.213016
361.530179,134,1484.893667
72.670727,40,1485.084787
366.806104,135,1485.835734
366.396972,135,1492.268064
139.498815,74,1492.631351
367.81461,132,1493.273439
367.859817,131,1493.923605
358.506968,133,1494.612028
143.473801,76,1500.593188
136.182145,72,1500.948666
135.912587,73,1501.336187
375.102869,134,1502.062408
369.023069,135,1502.818981
364.683225,134,1508.939848
174.999815,84,1509.367936
138.231217,74,1509.792097
144.574669,76,1510.171216
141.312095,75,1510.600287
363.628562,134,1516.703538
369.955781,134,1517.320229
141.878293,75,1517.716882
367.13342,135,1518.358745
79.935294,44,1518.58102
367.497324,133,1524.741105
367.49522,135,1525.383021
364.763204,133,1526.069488
367.502925,134,1526.834614
359.698117,131,1533.124039
361.417862,133,1533.875202
138.617225,73,1534.264304
360.575958,131,1535.02792
136.890731,73,1535.503717
149.959701,77,1541.437306
366.482003,133,1542.08071
361.5446,132,1542.74008
355.349512,133,1543.437261
362.488736,131,1549.714447
141.767138,74,1550.079762
362.967678,133,1550.751655
361.590352,134,1551.481725
361.666684,133,1557.373675
359.770091,134,1558.080884
363.709086,134,1558.812194
360.129255,134,1559.603453
360.132988,131,1565.605727
364.27025,132,1566.268329
151.600639,77,1566.654939
359.013483,131,1567.362307
358.802919,132,1568.088226
175.495958,86,1574.182822
146.412669,77,1574.684175
149.5263,77,1575.167271
359.534296,133,1575.982349
362.694456,134,1576.867867
365.515784,132,1583.5702
365.587264,134,1584.246959
137.661581,73,1584.596242
146.56765,77,1585.029615
361.616972,133,1591.007913
360.578117,133,1591.623131
367.792617,132,1592.245389
364.146834,133,1592.995937
363.303612,133,1599.46977
358.891588,133,1600.097573
365.305315,132,1600.846835
365.952003,133,1601.593606
188.977145,88,1607.510653
142.729598,75,1607.869897
363.163326,132,1608.522482
362.383102,134,1609.239196
129.931032,70,1609.645843
361.379676,134,1615.565524
189.869565,88,1616.001277
359.128157,133,1616.69554
145.834127,76,1617.141284
368.041448,132,1617.965489
366.555565,131,1624.048045
367.618712,132,1624.681559
362.792418,134,1625.376195
362.896768,134,1626.175848
137.245121,73,1632.022891
363.92802,134,1632.674392
360.052785,133,1633.375536
368.427073,133,1634.098518
361.927648,132,1640.286757
129.025328,70,1640.641456
364.618924,133,1641.343941
369.608498,133,1642.116358
360.712248,133,1648.050192
359.910963,134,1648.710625
368.174728,133,1649.410055
367.190216,131,1650.14957
129.597187,70,1650.598029
365.222187,133,1656.778963
144.114392,75,1657.144472
132.268939,71,1657.523672
364.57175,134,1658.242766
362.420947,134,1663.990283
131.531169,71,1664.30931
360.537129,133,1664.928572
364.477137,133,1665.650164
368.855932,131,1666.425221
361.311841,133,1672.477195
361.96748,134,1673.158614
357.89747,133,1673.907542
366.924759,132,1680.281429
360.052699,132,1680.984171
356.850439,133,1681.625042
358.201423,132,1682.406201
134.322321,72,1682.806018
130.412902,70,1688.274167
362.657939,132,1688.874289
357.581618,130,1689.545718
362.396147,130,1690.253295
145.438262,76,1690.681727
141.336621,75,1696.324449
355.444214,133,1696.979429
362.171716,132,1697.62663
138.131598,73,1698.018997
361.818982,132,1704.11758
76.304856,42,1704.350474
138.315909,74,1704.73963
361.914706,132,1705.393074
359.223775,131,1706.092537
359.656284,132,1712.333332
90.323325,49,1712.596323
82.539509,46,1712.808762
91.902269,50,1713.053044
351.070933,132,1713.676405
85.966208,48,1713.950438
352.996722,132,1714.696407
355.636474,133,1721.07857
354.802435,131,1721.735101
361.878459,132,1722.4523
144.114697,75,1722.859578
86.007906,47,1723.130019
351.669795,131,1729.284362
358.6483,132,1729.952892
352.767276,132,1730.662434
354.596489,131,1731.388713
362.667631,131,1737.673324
149.25206,78,1738.047321
351.376231,131,1738.770418
140.560762,74,1739.182131
354.310961,130,1745.432825
182.155462,86,1745.879742
359.503173,132,1746.581139
146.490121,76,1746.995844
356.05222,131,1747.735326
352.599173,132,1753.869672
175.241466,86,1754.287927
180.439624,86,1754.713129
352.673877,132,1755.453033
358.56751,131,1756.147356
356.14564,130,1761.977578
141.457704,74,1762.345953
143.374411,75,1762.735573
146.959432,76,1763.139966
139.749318,74,1763.543148
353.132362,132,1769.512942
147.048487,76,1769.912551
360.644398,132,1770.638745
144.170882,76,1771.099728
140.685209,74,1771.52942
352.727904,131,1777.998011
149.465502,78,1778.377546
139.045214,73,1778.720263
356.153413,133,1779.381972
154.410802,79,1779.786113
356.125085,133,1780.525063
182.728957,87,1786.451971
356.038294,133,1787.088141
350.872655,129,1787.787844
357.531709,130,1788.477151
169.340088,83,1794.065628
129.651059,70,1794.418105
181.127483,86,1794.862655
361.961072,133,1795.585006
141.975125,74,1795.986474
347.035294,130,1802.294718
353.560978,132,1802.930452
349.539643,130,1803.716783
183.150658,88,1804.169074
138.675956,74,1804.551574
349.991341,130,1810.73069
358.191408,132,1811.369799
351.408856,130,1812.061121
166.20155,82,1812.512529
349.17812,132,1818.643852
129.92623,70,1818.993778
131.513181,71,1819.348388
350.583745,131,1819.957521
358.994856,130,1820.612262
366.520155,133,1826.968698
181.967984,88,1827.412789
361.618434,131,1828.086622
129.760381,70,1828.469335
361.73949,132,1829.21222
144.182266,76,1834.966598
146.388612,76,1835.340285
142.407826,75,1835.716084
176.559823,85,1836.171781
361.006165,134,1836.948619
355.109181,133,1843.475225
180.114239,87,1843.896606
357.838639,131,1844.593639
352.814255,131,1845.332582
139.625424,74,1845.896818
129.147605,70,1852.095322
358.681173,133,1852.788666
128.981505,70,1853.13066
363.115844,134,1853.846816
364.616149,133,1854.582992
361.315333,133,1860.598014
170.58035,84,1861.006001
170.77181,84,1861.453681
175.791373,85,1861.917297
363.657772,134,1862.655482
363.207104,131,1868.656189
360.901435,134,1869.313477
359.321967,133,1870.007086
134.063877,72,1870.365198
173.247948,84,1876.287386
364.763601,132,1876.934817
347.822383,131,1877.66932
131.205254,71,1878.104986
143.577905,76,1878.516749
358.648631,131,1884.595666
362.774122,133,1885.239338
357.594457,133,1885.921177
147.968565,76,1886.320874
363.863049,132,1892.362511
364.815437,131,1892.951031
149.641753,77,1893.366225
126.783562,69,1893.733306
364.454593,132,1894.489338
361.260175,132,1900.613656
356.071703,133,1901.259422
363.550993,133,1901.940138
361.429978,133,1902.69748
132.295484,71,1903.077842
356.414639,133,1909.059831
359.973834,134,1909.761506
183.882467,86,1910.210972
144.971394,76,1910.609122
365.205236,134,1916.746037
359.650341,133,1917.373291
362.626988,132,1918.066919
359.589724,134,1918.85595
360.65674,134,1925.079113
173.911387,84,1925.481727
360.784493,134,1926.199294
360.78315,133,1926.893656
363.660553,134,1932.977229
366.509794,132,1933.629485
122.597913,67,1933.939306
362.649573,134,1934.642612
369.296117,133,1935.332538
78.55198,44,1940.947859
353.379408,131,1941.624781
359.368071,133,1942.261796
364.397356,132,1942.950047
359.640058,132,1949.186342
362.171122,131,1949.874856
359.064315,132,1950.613565
365.170139,134,1951.349104
361.329114,134,1957.469285
356.02601,133,1958.091058
358.598361,134,1958.87663
360.465163,131,1959.697126
364.139119,133,1965.512832
365.58023,133,1966.201537
358.72353,132,1966.957899
362.46146,132,1967.698749
176.447939,85,1973.530993
363.438816,130,1974.170333
182.448194,88,1974.654974
351.623464,132,1975.409868
187.577206,88,1975.923562
363.184419,133,1982.134557
361.428333,133,1982.844465
181.269316,86,1983.288871
355.13741,132,1984.077389
104.195345,57,1989.8189
362.38605,133,1990.436159
364.480879,133,1991.136613
101.858318,55,1991.44444
